# This file is provided by the database of the "Bureau Central de   |
# Magnetisme Terrestre" (BCMT, France).                             |
# Conditions of use: these data are for scientific/academic use.    |
# Formula for computing non-reported elements:                      |
# X=H*cos(D), Y=H*sin(D), tan(I)=Z/H                                |
# D is expressed in minutes of arc.                                 |
# 1-month values are computed from 24 monthly means of 1-hour       |
# values.                                                           |
# For any enquiry, please contact: bcmt@ipgp.fr                     |
date       time         doy     clfh       clfd     clfz      clff  
1936-01-16 12:00:00.000 016     20002.30   -573.85  41342.30  88888.00
1936-02-15 12:00:00.000 046     20009.90   -572.60  41351.10  88888.00
1936-03-16 12:00:00.000 076     20015.10   -571.68  41344.40  88888.00
1936-04-16 00:00:00.000 107     20007.50   -570.52  41354.60  88888.00
1936-05-16 12:00:00.000 137     20012.20   -569.94  41359.00  88888.00
1936-06-16 00:00:00.000 168     20014.20   -569.20  41367.50  88888.00
1936-07-16 12:00:00.000 198     20009.50   -568.50  41372.60  88888.00
1936-08-16 12:00:00.000 229     20016.90   -567.61  41377.20  88888.00
1936-09-16 00:00:00.000 260     20010.70   -567.20  41390.60  88888.00
1936-10-16 12:00:00.000 290     20006.20   -566.23  41400.90  88888.00
1936-11-16 00:00:00.000 321     20009.90   -564.99  41411.10  88888.00
1936-12-16 12:00:00.000 351     20014.60   -564.32  41420.60  88888.00
1937-01-16 12:00:00.000 016     20008.10   -563.53  41409.50  88888.00
1937-02-15 00:00:00.000 046     20005.10   -562.50  41415.00  88888.00
1937-03-16 12:00:00.000 075     20013.50   -562.12  41421.60  88888.00
1937-04-16 00:00:00.000 106     20014.60   -560.80  41428.60  88888.00
1937-05-16 12:00:00.000 136     20015.20   -559.75  41435.90  88888.00
1937-06-16 00:00:00.000 167     20027.60   -559.38  41427.20  88888.00
1937-07-16 12:00:00.000 197     20017.40   -558.60  41432.80  88888.00
1937-08-16 12:00:00.000 228     20011.20   -557.94  41419.90  88888.00
1937-09-16 00:00:00.000 259     20015.00   -557.26  41410.80  88888.00
1937-10-16 12:00:00.000 289     19993.80   -556.41  41425.10  88888.00
1937-11-16 00:00:00.000 320     20006.60   -555.76  41416.60  88888.00
1937-12-16 12:00:00.000 350     20007.80   -555.22  41415.30  88888.00
1938-01-16 12:00:00.000 016     19990.40   -553.49  41443.80  88888.00
1938-02-15 00:00:00.000 046     20011.00   -553.23  41451.90  88888.00
1938-03-16 12:00:00.000 075     20023.70   -552.83  41460.40  88888.00
1938-04-16 00:00:00.000 106     20020.70   -551.86  41478.40  88888.00
1938-05-16 12:00:00.000 136     20022.00   -550.79  41489.30  88888.00
1938-06-16 00:00:00.000 167     20030.20   -550.30  41478.70  88888.00
1938-07-16 12:00:00.000 197     20022.30   -549.69  41474.10  88888.00
1938-08-16 12:00:00.000 228     20015.40   -548.99  41462.60  88888.00
1938-09-16 00:00:00.000 259     20009.70   -547.98  41462.00  88888.00
1938-10-16 12:00:00.000 289     20009.40   -547.29  41457.20  88888.00
1938-11-16 00:00:00.000 320     20018.50   -546.54  41463.20  88888.00
1938-12-16 12:00:00.000 350     20015.70   -545.74  41463.00  88888.00
1939-01-16 12:00:00.000 016     20035.00   -545.47  41454.90  88888.00
1939-02-15 00:00:00.000 046     20020.80   -544.59  41468.10  88888.00
1939-03-16 12:00:00.000 075     20026.10   -543.53  41475.60  88888.00
1939-04-16 00:00:00.000 106     20023.30   -542.25  41487.90  88888.00
1939-05-16 12:00:00.000 136     20031.00   -541.59  41494.80  88888.00
1939-06-16 00:00:00.000 167     20038.00   -541.60  41491.20  88888.00
1939-07-16 12:00:00.000 197     20029.60   -540.88  41488.20  88888.00
1939-08-16 12:00:00.000 228     20025.80   -539.76  41485.90  88888.00
1939-09-16 00:00:00.000 259     20025.60   -538.81  41485.10  88888.00
1939-10-16 12:00:00.000 289     20011.70   -537.92  41492.60  88888.00
